request arrival cycle, request accepted cycle, ptw_idx, npu_idx
18311, 21911, 2, 0
18311, 21911, 3, 0
18311, 21911, 4, 0
18311, 21911, 5, 0
18311, 21911, 6, 0
18311, 21911, 7, 0
18311, 22311, 0, 0
18311, 22311, 1, 0
18311, 22311, 2, 0
18311, 22311, 3, 0
18311, 22311, 4, 0
18311, 22311, 5, 0
18311, 22311, 6, 0
18311, 22311, 7, 0
18311, 22711, 0, 0
18311, 22711, 1, 0
18311, 22711, 2, 0
18311, 22711, 3, 0
18311, 22711, 4, 0
18311, 22711, 5, 0
18311, 22711, 6, 0
18311, 22711, 7, 0
18311, 23111, 0, 0
18311, 23111, 1, 0
18311, 23111, 2, 0
18311, 23111, 3, 0
18311, 23111, 4, 0
18311, 23111, 5, 0
18311, 23111, 6, 0
18311, 23111, 7, 0
18311, 23511, 0, 0
18311, 23511, 1, 0
18311, 23511, 2, 0
18311, 23511, 3, 0
18311, 23511, 4, 0
18311, 23511, 5, 0
18311, 23511, 6, 0
18311, 23511, 7, 0
18311, 23911, 0, 0
18311, 23911, 1, 0
18311, 23911, 2, 0
18311, 23911, 3, 0
18311, 23911, 4, 0
18311, 23911, 5, 0
18311, 23911, 6, 0
18311, 23911, 7, 0
18311, 24311, 0, 0
18311, 24311, 1, 0
18311, 24311, 2, 0
18311, 24311, 3, 0
18311, 24311, 4, 0
18311, 24311, 5, 0
18311, 24311, 6, 0
18311, 24311, 7, 0
18311, 24711, 0, 0
18311, 24711, 1, 0
18311, 24711, 2, 0
18311, 24711, 3, 0
18311, 24711, 4, 0
18311, 24711, 5, 0
18311, 24711, 6, 0
18311, 24711, 7, 0
18311, 25111, 0, 0
18311, 25111, 1, 0
18311, 25111, 2, 0
18311, 25111, 3, 0
18311, 25111, 4, 0
18311, 25111, 5, 0
18311, 25111, 6, 0
18311, 25111, 7, 0
18311, 25511, 0, 0
18311, 25511, 1, 0
18311, 25511, 2, 0
18311, 25511, 3, 0
18311, 25511, 4, 0
18311, 25511, 5, 0
18311, 25511, 6, 0
18311, 25511, 7, 0
18311, 25911, 0, 0
18311, 25911, 1, 0
18311, 25911, 2, 0
18311, 25911, 3, 0
18311, 25911, 4, 0
18311, 25911, 5, 0
18311, 25911, 6, 0
18311, 25911, 7, 0
18311, 26311, 0, 0
18311, 26311, 1, 0
18311, 26311, 2, 0
18311, 26311, 3, 0
18311, 26311, 4, 0
18311, 26311, 5, 0
18311, 26311, 6, 0
18311, 26311, 7, 0
18311, 26711, 0, 0
18311, 26711, 1, 0
18311, 26711, 2, 0
18311, 26711, 3, 0
18311, 26711, 4, 0
18311, 26711, 5, 0
18311, 26711, 6, 0
18311, 26711, 7, 0
18311, 27111, 0, 0
18311, 27111, 1, 0
18311, 27111, 2, 0
18311, 27111, 3, 0
18311, 27111, 4, 0
18311, 27111, 5, 0
18311, 27111, 6, 0
18311, 27111, 7, 0
18311, 27511, 0, 0
18311, 27511, 1, 0
18311, 27511, 2, 0
18311, 27511, 3, 0
18311, 27511, 4, 0
18311, 27511, 5, 0
18311, 27511, 6, 0
18311, 27511, 7, 0
18311, 27911, 0, 0
18311, 27911, 1, 0
18311, 27911, 2, 0
18311, 27911, 3, 0
18311, 27911, 4, 0
18311, 27911, 5, 0
18311, 27911, 6, 0
18311, 27911, 7, 0
18311, 28311, 0, 0
18311, 28311, 1, 0
18311, 28311, 2, 0
18311, 28311, 3, 0
18311, 28311, 4, 0
18311, 28311, 5, 0
18311, 28311, 6, 0
18311, 28311, 7, 0
18311, 28711, 0, 0
18311, 28711, 1, 0
18311, 28711, 2, 0
18311, 28711, 3, 0
18311, 28711, 4, 0
18311, 28711, 5, 0
18311, 28711, 6, 0
18311, 28711, 7, 0
18311, 29111, 0, 0
18311, 29111, 1, 0
18311, 29111, 2, 0
18311, 29111, 3, 0
